"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年7月30日","2,749.00","2,713.70","2,756.20","2,595.00","34.97K","1.29%"
"2017年7月29日","2,714.10","2,784.80","2,794.20","2,662.60","24.25K","-2.54%"
"2017年7月28日","2,784.80","2,664.60","2,819.90","2,655.50","40.54K","4.50%"
"2017年7月27日","2,664.90","2,527.74","2,682.20","2,511.00","31.36K","5.51%"
"2017年7月26日","2,525.70","2,560.90","2,612.00","2,404.60","34.18K","-1.37%"
"2017年7月25日","2,560.90","2,769.70","2,790.10","2,435.70","56.10K","-7.54%"
"2017年7月24日","2,769.70","2,750.10","2,812.00","2,707.30","20.71K","0.81%"
"2017年7月23日","2,747.50","2,845.70","2,875.70","2,656.20","35.18K","-3.45%"
"2017年7月22日","2,845.70","2,659.00","2,912.90","2,642.80","35.25K","6.82%"
"2017年7月21日","2,664.00","2,874.50","2,874.50","2,615.00","57.43K","-6.73%"
"2017年7月20日","2,856.30","2,253.30","2,919.90","2,253.30","83.44K","26.77%"
"2017年7月19日","2,253.10","2,302.20","2,399.90","2,214.20","35.81K","-2.13%"
"2017年7月18日","2,302.10","2,220.00","2,380.20","2,139.80","44.10K","3.74%"
"2017年7月17日","2,219.00","1,925.00","2,223.30","1,924.10","40.48K","15.28%"
"2017年7月16日","1,924.90","1,979.70","2,048.80","1,835.80","53.02K","-2.71%"
"2017年7月15日","1,978.60","2,206.50","2,210.10","1,975.70","41.76K","-10.27%"
"2017年7月14日","2,205.10","2,329.40","2,345.60","2,138.00","27.74K","-5.32%"
"2017年7月13日","2,329.00","2,375.60","2,400.00","2,293.80","18.42K","-1.91%"
"2017年7月12日","2,374.40","2,285.60","2,394.00","2,195.80","21.67K","4.04%"
"2017年7月11日","2,282.10","2,318.30","2,372.80","2,183.30","33.06K","-1.56%"
"2017年7月10日","2,318.30","2,477.90","2,498.10","2,240.00","28.09K","-6.44%"
"2017年7月9日","2,478.00","2,542.00","2,555.60","2,473.70","7.78K","-2.52%"
"2017年7月8日","2,542.00","2,479.30","2,542.60","2,436.80","9.69K","2.53%"
"2017年7月7日","2,479.30","2,593.20","2,598.00","2,447.00","17.68K","-4.39%"
"2017年7月6日","2,593.10","2,598.60","2,603.30","2,546.00","9.83K","-0.21%"
"2017年7月5日","2,598.50","2,579.90","2,617.60","2,482.50","13.54K","0.62%"
"2017年7月4日","2,582.60","2,525.90","2,628.00","2,512.40","15.75K","2.32%"
"2017年7月3日","2,524.00","2,445.10","2,584.00","2,416.20","16.14K","3.23%"
"2017年7月2日","2,445.00","2,346.20","2,470.00","2,302.00","12.03K","4.06%"
"2017年7月1日","2,349.50","2,420.60","2,440.90","2,291.00","15.08K","-2.94%"
"2017年6月30日","2,420.70","2,472.40","2,511.10","2,406.60","10.40K","-2.00%"
"2017年6月29日","2,470.10","2,518.20","2,537.00","2,424.10","12.96K","-1.91%"
"2017年6月28日","2,518.20","2,521.30","2,561.10","2,403.20","21.83K","-0.12%"
"2017年6月27日","2,521.20","2,393.50","2,524.00","2,208.10","33.49K","5.29%"
"2017年6月26日","2,394.60","2,480.00","2,510.40","2,258.70","36.37K","-3.35%"
"2017年6月25日","2,477.70","2,502.60","2,595.00","2,369.10","18.13K","-0.99%"
"2017年6月24日","2,502.60","2,674.90","2,700.00","2,454.10","16.77K","-6.44%"
"2017年6月23日","2,674.90","2,672.80","2,725.30","2,652.80","8.14K","0.08%"
"2017年6月22日","2,672.80","2,624.40","2,709.00","2,554.80","15.18K","1.97%"
"2017年6月21日","2,621.20","2,715.30","2,760.00","2,573.30","24.54K","-3.36%"
"2017年6月20日","2,712.20","2,585.00","2,779.60","2,568.20","20.56K","5.09%"
"2017年6月19日","2,580.80","2,494.90","2,592.70","2,481.40","13.71K","3.58%"
"2017年6月18日","2,491.50","2,610.10","2,635.00","2,421.00","19.99K","-4.54%"
"2017年6月17日","2,610.00","2,435.50","2,636.90","2,368.70","16.64K","7.10%"
"2017年6月16日","2,437.00","2,377.50","2,480.00","2,261.20","22.41K","2.51%"
"2017年6月15日","2,377.40","2,394.30","2,455.00","2,050.00","55.83K","-0.74%"
"2017年6月14日","2,395.04","2,677.10","2,720.00","2,284.40","34.71K","-10.51%"
"2017年6月13日","2,676.40","2,570.00","2,730.00","2,532.60","23.18K","4.07%"
"2017年6月12日","2,571.80","2,941.80","2,961.90","2,298.23","48.34K","-12.41%"
"2017年6月11日","2,936.30","2,806.00","3,000.00","2,793.80","19.03K","4.64%"
"2017年6月10日","2,806.00","2,809.90","2,890.50","2,750.80","16.17K","-0.11%"
"2017年6月9日","2,809.00","2,781.50","2,849.80","2,769.60","9.52K","0.97%"
"2017年6月8日","2,782.10","2,642.00","2,789.30","2,570.10","16.98K","5.28%"
"2017年6月7日","2,642.63","2,844.60","2,850.00","2,600.20","22.10K","-7.07%"
"2017年6月6日","2,843.60","2,636.90","2,896.50","2,620.00","42.68K","7.87%"
"2017年6月5日","2,636.20","2,488.20","2,637.50","2,480.00","15.39K","5.95%"
"2017年6月4日","2,488.20","2,461.60","2,498.00","2,376.40","11.88K","1.11%"
"2017年6月3日","2,461.00","2,405.90","2,481.00","2,348.00","10.77K","2.29%"
"2017年6月2日","2,405.88","2,312.00","2,407.80","2,271.90","12.55K","4.08%"
"2017年6月1日","2,311.60","2,191.83","2,366.70","2,187.40","18.96K","5.46%"
"2017年5月31日","2,191.83","2,147.29","2,240.10","2,002.10","21.24K","2.10%"
"2017年5月30日","2,146.70","2,207.40","2,263.10","2,080.40","21.45K","-2.75%"
"2017年5月29日","2,207.40","2,056.90","2,249.80","1,990.10","16.46K","7.33%"
"2017年5月28日","2,056.60","1,980.00","2,193.00","1,955.50","25.78K","4.27%"
"2017年5月27日","1,972.30","2,125.90","2,207.90","1,810.00","47.12K","-7.29%"
"2017年5月26日","2,127.30","2,268.10","2,477.00","2,008.70","39.76K","-5.54%"
"2017年5月25日","2,252.00","2,392.60","2,689.00","2,142.10","55.10K","-5.96%"
"2017年5月24日","2,394.80","2,250.00","2,443.80","2,247.70","29.63K","6.47%"
"2017年5月23日","2,249.30","2,087.50","2,262.90","2,060.00","22.49K","7.85%"
"2017年5月22日","2,085.50","2,026.50","2,219.90","1,979.20","57.24K","2.77%"
"2017年5月21日","2,029.20","2,059.30","2,099.10","2,001.00","17.22K","-1.48%"
"2017年5月20日","2,059.70","1,966.50","2,072.20","1,963.60","21.69K","4.74%"
"2017年5月19日","1,966.50","1,941.50","2,000.00","1,925.00","23.00K","1.29%"
"2017年5月18日","1,941.50","1,870.00","1,949.90","1,861.00","12.91K","3.82%"
"2017年5月17日","1,870.00","1,786.20","1,892.90","1,766.40","15.91K","4.72%"
"2017年5月16日","1,785.70","1,772.00","1,795.10","1,728.00","9.86K","0.74%"
